record_type,version,gen_date,model,desc,fcst_lead,fcst_valid,obs_lead,obs_valid,fcst_init,obs_init,mode,fcst_var,fcst_lev,obs_var,obs_lev,fcst_units,obs_units,fcst_thresh,obs_thresh,cov_thresh,alpha,line_type,total,fbias,fbar,obar,fbar_ncl,obar_ncl,fbar_tcl,obar_tcl,acc,mse,rmse,mse_ss,mae,me,cop,add,mul,sdbar,me2,anom_corr,me_tss,me_tss_acc,me_tss_rmse,source_file,valid,bias,hss,ets,mr,far,csi,gerrity,hss_ec,fy_oy,fy_on,fn_oy,fn_on
STAT,V12.0.0,20260820_055425,INANWP,NA,000000,20260727_010000,000000,20260727_010000,20260726_130000,20260726_130000,NA,RAINNC,"(*,*)",hourlyPrecipRateGC,"(*,*)",mm,mm,gt5,gt5,NA,0.05,CNT,10000.0,0.045,6.893,4.893,3.893,4.393,4.893,4.093,0.6571,23.94,4.893,0.5,3.914,0.225,0.9,0.1,1.0,0.5,0.2,0.1,0.05,0.04,0.03,grid_stat_20260727.stat,20260727_010000,,,,,,,,,,,,
STAT,V12.0.0,20260820_055425,INANWP,NA,000000,20260727_010000,000000,20260727_010000,20260726_130000,20260726_130000,NA,RAINNC,"(*,*)",hourlyPrecipRateGC,"(*,*)",mm,mm,gt5,gt5,NA,0.05,CTS,10000.0,,,,,,,,0.85,,,,,,,,,,,,,,,grid_stat_20260727.stat,20260727_010000,0.023,0.45,0.3286,0.15,0.2,0.4286,0.3,0.4,,,,
STAT,V12.0.0,20260820_055425,INANWP,NA,000000,20260727_010000,000000,20260727_010000,20260726_130000,20260726_130000,NA,RAINNC,"(*,*)",hourlyPrecipRateGC,"(*,*)",mm,mm,gt5,gt5,NA,0.05,CTC,10000.0,,,,,,,,,,,,,,,,,,,,,,,grid_stat_20260727.stat,20260727_010000,,,,,,,,,565.0,183.0,273.0,8932.0
STAT,V12.0.0,20260820_055425,INANWP,NA,000000,20260727_010000,000000,20260727_010000,20260726_130000,20260726_130000,NA,RAINNC,"(*,*)",hourlyPrecipRateGC,"(*,*)",mm,mm,gt10,gt10,NA,0.05,CNT,10000.0,0.045,6.893,4.893,3.893,4.393,4.893,4.093,0.6571,23.94,4.893,0.5,3.914,0.225,0.9,0.1,1.0,0.5,0.2,0.1,0.05,0.04,0.03,grid_stat_20260727.stat,20260727_010000,,,,,,,,,,,,
STAT,V12.0.0,20260820_055425,INANWP,NA,000000,20260727_010000,000000,20260727_010000,20260726_130000,20260726_130000,NA,RAINNC,"(*,*)",hourlyPrecipRateGC,"(*,*)",mm,mm,gt10,gt10,NA,0.05,CTS,10000.0,,,,,,,,0.85,,,,,,,,,,,,,,,grid_stat_20260727.stat,20260727_010000,0.023,0.45,0.3036,0.15,0.2,0.4036,0.3,0.4,,,,
STAT,V12.0.0,20260820_055425,INANWP,NA,000000,20260727_010000,000000,20260727_010000,20260726_130000,20260726_130000,NA,RAINNC,"(*,*)",hourlyPrecipRateGC,"(*,*)",mm,mm,gt10,gt10,NA,0.05,CTC,10000.0,,,,,,,,,,,,,,,,,,,,,,,grid_stat_20260727.stat,20260727_010000,,,,,,,,,560.0,184.0,275.0,8930.0
STAT,V12.0.0,20260820_055425,INANWP,NA,000000,20260727_010000,000000,20260727_010000,20260726_130000,20260726_130000,NA,RAINNC,"(*,*)",hourlyPrecipRateGC,"(*,*)",mm,mm,gt20,gt20,NA,0.05,CNT,10000.0,0.045,6.893,4.893,3.893,4.393,4.893,4.093,0.6571,23.94,4.893,0.5,3.914,0.225,0.9,0.1,1.0,0.5,0.2,0.1,0.05,0.04,0.03,grid_stat_20260727.stat,20260727_010000,,,,,,,,,,,,
STAT,V12.0.0,20260820_055425,INANWP,NA,000000,20260727_010000,000000,20260727_010000,20260726_130000,20260726_130000,NA,RAINNC,"(*,*)",hourlyPrecipRateGC,"(*,*)",mm,mm,gt20,gt20,NA,0.05,CTS,10000.0,,,,,,,,0.85,,,,,,,,,,,,,,,grid_stat_20260727.stat,20260727_010000,0.023,0.45,0.2536,0.15,0.2,0.3536,0.3,0.4,,,,
STAT,V12.0.0,20260820_055425,INANWP,NA,000000,20260727_010000,000000,20260727_010000,20260726_130000,20260726_130000,NA,RAINNC,"(*,*)",hourlyPrecipRateGC,"(*,*)",mm,mm,gt20,gt20,NA,0.05,CTC,10000.0,,,,,,,,,,,,,,,,,,,,,,,grid_stat_20260727.stat,20260727_010000,,,,,,,,,550.0,187.0,279.0,8925.0
STAT,V12.0.0,20260820_055425,INANWP,NA,000000,20260727_010000,000000,20260727_010000,20260726_130000,20260726_130000,NA,RAINNC,"(*,*)",hourlyPrecipRateGC,"(*,*)",mm,mm,gt50,gt50,NA,0.05,CNT,10000.0,0.045,6.893,4.893,3.893,4.393,4.893,4.093,0.6571,23.94,4.893,0.5,3.914,0.225,0.9,0.1,1.0,0.5,0.2,0.1,0.05,0.04,0.03,grid_stat_20260727.stat,20260727_010000,,,,,,,,,,,,
STAT,V12.0.0,20260820_055425,INANWP,NA,000000,20260727_010000,000000,20260727_010000,20260726_130000,20260726_130000,NA,RAINNC,"(*,*)",hourlyPrecipRateGC,"(*,*)",mm,mm,gt50,gt50,NA,0.05,CTS,10000.0,,,,,,,,0.85,,,,,,,,,,,,,,,grid_stat_20260727.stat,20260727_010000,0.023,0.45,0.1036,0.15,0.2,0.2036,0.3,0.4,,,,
STAT,V12.0.0,20260820_055425,INANWP,NA,000000,20260727_010000,000000,20260727_010000,20260726_130000,20260726_130000,NA,RAINNC,"(*,*)",hourlyPrecipRateGC,"(*,*)",mm,mm,gt50,gt50,NA,0.05,CTC,10000.0,,,,,,,,,,,,,,,,,,,,,,,grid_stat_20260727.stat,20260727_010000,,,,,,,,,520.0,194.0,291.0,8910.0
STAT,V12.0.0,20260820_055425,INANWP,NA,000000,20260727_020000,000000,20260727_020000,20260726_140000,20260726_140000,NA,RAINNC,"(*,*)",hourlyPrecipRateGC,"(*,*)",mm,mm,gt0.1,gt0.1,NA,0.05,CNT,10000.0,0.05,6.786,4.786,3.786,4.286,4.786,3.986,0.6643,22.903,4.786,0.5,3.829,0.25,0.9,0.1,1.0,0.5,0.2,0.1,0.05,0.04,0.03,grid_stat_20260727.stat,20260727_020000,,,,,,,,,,,,
STAT,V12.0.0,20260820_055425,INANWP,NA,000000,20260727_020000,000000,20260727_020000,20260726_140000,20260726_140000,NA,RAINNC,"(*,*)",hourlyPrecipRateGC,"(*,*)",mm,mm,gt0.1,gt0.1,NA,0.05,CTS,10000.0,,,,,,,,0.85,,,,,,,,,,,,,,,grid_stat_20260727.stat,20260727_020000,0.025,0.45,0.3566,0.15,0.2,0.4566,0.3,0.4,,,,
STAT,V12.0.0,20260820_055425,INANWP,NA,000000,20260727_020000,000000,20260727_020000,20260726_140000,20260726_140000,NA,RAINNC,"(*,*)",hourlyPrecipRateGC,"(*,*)",mm,mm,gt0.1,gt0.1,NA,0.05,CTC,10000.0,,,,,,,,,,,,,,,,,,,,,,,grid_stat_20260727.stat,20260727_020000,,,,,,,,,571.0,182.0,271.0,8935.0
STAT,V12.0.0,20260820_055425,INANWP,NA,000000,20260727_020000,000000,20260727_020000,20260726_140000,20260726_140000,NA,RAINNC,"(*,*)",hourlyPrecipRateGC,"(*,*)",mm,mm,gt1,gt1,NA,0.05,CNT,10000.0,0.05,6.786,4.786,3.786,4.286,4.786,3.986,0.6643,22.903,4.786,0.5,3.829,0.25,0.9,0.1,1.0,0.5,0.2,0.1,0.05,0.04,0.03,grid_stat_20260727.stat,20260727_020000,,,,,,,,,,,,
STAT,V12.0.0,20260820_055425,INANWP,NA,000000,20260727_020000,000000,20260727_020000,20260726_140000,20260726_140000,NA,RAINNC,"(*,*)",hourlyPrecipRateGC,"(*,*)",mm,mm,gt1,gt1,NA,0.05,CTS,10000.0,,,,,,,,0.85,,,,,,,,,,,,,,,grid_stat_20260727.stat,20260727_020000,0.025,0.45,0.3521,0.15,0.2,0.4521,0.3,0.4,,,,
STAT,V12.0.0,20260820_055425,INANWP,NA,000000,20260727_020000,000000,20260727_020000,20260726_140000,20260726_140000,NA,RAINNC,"(*,*)",hourlyPrecipRateGC,"(*,*)",mm,mm,gt1,gt1,NA,0.05,CTC,10000.0,,,,,,,,,,,,,,,,,,,,,,,grid_stat_20260727.stat,20260727_020000,,,,,,,,,570.0,182.0,271.0,8935.0
STAT,V12.0.0,20260820_055425,INANWP,NA,000000,20260727_020000,000000,20260727_020000,20260726_140000,20260726_140000,NA,RAINNC,"(*,*)",hourlyPrecipRateGC,"(*,*)",mm,mm,gt5,gt5,NA,0.05,CNT,10000.0,0.05,6.786,4.786,3.786,4.286,4.786,3.986,0.6643,22.903,4.786,0.5,3.829,0.25,0.9,0.1,1.0,0.5,0.2,0.1,0.05,0.04,0.03,grid_stat_20260727.stat,20260727_020000,,,,,,,,,,,,
STAT,V12.0.0,20260820_055425,INANWP,NA,000000,20260727_020000,000000,20260727_020000,20260726_140000,20260726_140000,NA,RAINNC,"(*,*)",hourlyPrecipRateGC,"(*,*)",mm,mm,gt5,gt5,NA,0.05,CTS,10000.0,,,,,,,,0.85,,,,,,,,,,,,,,,grid_stat_20260727.stat,20260727_020000,0.025,0.45,0.3321,0.15,0.2,0.4321,0.3,0.4,,,,
STAT,V12.0.0,20260820_055425,INANWP,NA,000000,20260727_020000,000000,20260727_020000,20260726_140000,20260726_140000,NA,RAINNC,"(*,*)",hourlyPrecipRateGC,"(*,*)",mm,mm,gt5,gt5,NA,0.05,CTC,10000.0,,,,,,,,,,,,,,,,,,,,,,,grid_stat_20260727.stat,20260727_020000,,,,,,,,,566.0,183.0,273.0,8933.0
STAT,V12.0.0,20260820_055425,INANWP,NA,000000,20260727_020000,000000,20260727_020000,20260726_140000,20260726_140000,NA,RAINNC,"(*,*)",hourlyPrecipRateGC,"(*,*)",mm,mm,gt10,gt10,NA,0.05,CNT,10000.0,0.05,6.786,4.786,3.786,4.286,4.786,3.986,0.6643,22.903,4.786,0.5,3.829,0.25,0.9,0.1,1.0,0.5,0.2,0.1,0.05,0.04,0.03,grid_stat_20260727.stat,20260727_020000,,,,,,,,,,,,
STAT,V12.0.0,20260820_055425,INANWP,NA,000000,20260727_020000,000000,20260727_020000,20260726_140000,20260726_140000,NA,RAINNC,"(*,*)",hourlyPrecipRateGC,"(*,*)",mm,mm,gt10,gt10,NA,0.05,CTS,10000.0,,,,,,,,0.85,,,,,,,,,,,,,,,grid_stat_20260727.stat,20260727_020000,0.025,0.45,0.3071,0.15,0.2,0.4071,0.3,0.4,,,,
STAT,V12.0.0,20260820_055425,INANWP,NA,000000,20260727_020000,000000,20260727_020000,20260726_140000,20260726_140000,NA,RAINNC,"(*,*)",hourlyPrecipRateGC,"(*,*)",mm,mm,gt10,gt10,NA,0.05,CTC,10000.0,,,,,,,,,,,,,,,,,,,,,,,grid_stat_20260727.stat,20260727_020000,,,,,,,,,561.0,184.0,275.0,8930.0
STAT,V12.0.0,20260820_055425,INANWP,NA,000000,20260727_020000,000000,20260727_020000,20260726_140000,20260726_140000,NA,RAINNC,"(*,*)",hourlyPrecipRateGC,"(*,*)",mm,mm,gt20,gt20,NA,0.05,CNT,10000.0,0.05,6.786,4.786,3.786,4.286,4.786,3.986,0.6643,22.903,4.786,0.5,3.829,0.25,0.9,0.1,1.0,0.5,0.2,0.1,0.05,0.04,0.03,grid_stat_20260727.stat,20260727_020000,,,,,,,,,,,,
STAT,V12.0.0,20260820_055425,INANWP,NA,000000,20260727_020000,000000,20260727_020000,20260726_140000,20260726_140000,NA,RAINNC,"(*,*)",hourlyPrecipRateGC,"(*,*)",mm,mm,gt20,gt20,NA,0.05,CTS,10000.0,,,,,,,,0.85,,,,,,,,,,,,,,,grid_stat_20260727.stat,20260727_020000,0.025,0.45,0.2571,0.15,0.2,0.3571,0.3,0.4,,,,
STAT,V12.0.0,20260820_055425,INANWP,NA,000000,20260727_020000,000000,20260727_020000,20260726_140000,20260726_140000,NA,RAINNC,"(*,*)",hourlyPrecipRateGC,"(*,*)",mm,mm,gt20,gt20,NA,0.05,CTC,10000.0,,,,,,,,,,,,,,,,,,,,,,,grid_stat_20260727.stat,20260727_020000,,,,,,,,,551.0,187.0,279.0,8925.0
STAT,V12.0.0,20260820_055425,INANWP,NA,000000,20260727_020000,000000,20260727_020000,20260726_140000,20260726_140000,NA,RAINNC,"(*,*)",hourlyPrecipRateGC,"(*,*)",mm,mm,gt50,gt50,NA,0.05,CNT,10000.0,0.05,6.786,4.786,3.786,4.286,4.786,3.986,0.6643,22.903,4.786,0.5,3.829,0.25,0.9,0.1,1.0,0.5,0.2,0.1,0.05,0.04,0.03,grid_stat_20260727.stat,20260727_020000,,,,,,,,,,,,
STAT,V12.0.0,20260820_055425,INANWP,NA,000000,20260727_020000,000000,20260727_020000,20260726_140000,20260726_140000,NA,RAINNC,"(*,*)",hourlyPrecipRateGC,"(*,*)",mm,mm,gt50,gt50,NA,0.05,CTS,10000.0,,,,,,,,0.85,,,,,,,,,,,,,,,grid_stat_20260727.stat,20260727_020000,0.025,0.45,0.1071,0.15,0.2,0.2071,0.3,0.4,,,,
STAT,V12.0.0,20260820_055425,INANWP,NA,000000,20260727_020000,000000,20260727_020000,20260726_140000,20260726_140000,NA,RAINNC,"(*,*)",hourlyPrecipRateGC,"(*,*)",mm,mm,gt50,gt50,NA,0.05,CTC,10000.0,,,,,,,,,,,,,,,,,,,,,,,grid_stat_20260727.stat,20260727_020000,,,,,,,,,521.0,194.0,291.0,8910.0
STAT,V12.0.0,20260820_055425,INANWP,NA,000000,20260727_030000,000000,20260727_030000,20260726_150000,20260726_150000,NA,RAINNC,"(*,*)",hourlyPrecipRateGC,"(*,*)",mm,mm,gt0.1,gt0.1,NA,0.05,CNT,10000.0,0.055,6.679,4.679,3.679,4.179,4.679,3.879,0.6714,21.889,4.679,0.5,3.743,0.275,0.9,0.1,1.0,0.5,0.2,0.1,0.05,0.04,0.03,grid_stat_20260727.stat,20260727_030000,,,,,,,,,,,,
STAT,V12.0.0,20260820_055425,INANWP,NA,000000,20260727_030000,000000,20260727_030000,20260726_150000,20260726_150000,NA,RAINNC,"(*,*)",hourlyPrecipRateGC,"(*,*)",mm,mm,gt0.1,gt0.1,NA,0.05,CTS,10000.0,,,,,,,,0.85,,,,,,,,,,,,,,,grid_stat_20260727.stat,20260727_030000,0.028,0.45,0.3602,0.15,0.2,0.4602,0.3,0.4,,,,
STAT,V12.0.0,20260820_055425,INANWP,NA,000000,20260727_030000,000000,20260727_030000,20260726_150000,20260726_150000,NA,RAINNC,"(*,*)",hourlyPrecipRateGC,"(*,*)",mm,mm,gt0.1,gt0.1,NA,0.05,CTC,10000.0,,,,,,,,,,,,,,,,,,,,,,,grid_stat_20260727.stat,20260727_030000,,,,,,,,,572.0,181.0,271.0,8936.0
STAT,V12.0.0,20260820_055425,INANWP,NA,000000,20260727_030000,000000,20260727_030000,20260726_150000,20260726_150000,NA,RAINNC,"(*,*)",hourlyPrecipRateGC,"(*,*)",mm,mm,gt1,gt1,NA,0.05,CNT,10000.0,0.055,6.679,4.679,3.679,4.179,4.679,3.879,0.6714,21.889,4.679,0.5,3.743,0.275,0.9,0.1,1.0,0.5,0.2,0.1,0.05,0.04,0.03,grid_stat_20260727.stat,20260727_030000,,,,,,,,,,,,
STAT,V12.0.0,20260820_055425,INANWP,NA,000000,20260727_030000,000000,20260727_030000,20260726_150000,20260726_150000,NA,RAINNC,"(*,*)",hourlyPrecipRateGC,"(*,*)",mm,mm,gt1,gt1,NA,0.05,CTS,10000.0,,,,,,,,0.85,,,,,,,,,,,,,,,grid_stat_20260727.stat,20260727_030000,0.028,0.45,0.3557,0.15,0.2,0.4557,0.3,0.4,,,,
STAT,V12.0.0,20260820_055425,INANWP,NA,000000,20260727_030000,000000,20260727_030000,20260726_150000,20260726_150000,NA,RAINNC,"(*,*)",hourlyPrecipRateGC,"(*,*)",mm,mm,gt1,gt1,NA,0.05,CTC,10000.0,,,,,,,,,,,,,,,,,,,,,,,grid_stat_20260727.stat,20260727_030000,,,,,,,,,571.0,182.0,271.0,8935.0
STAT,V12.0.0,20260820_055425,INANWP,NA,000000,20260727_030000,000000,20260727_030000,20260726_150000,20260726_150000,NA,RAINNC,"(*,*)",hourlyPrecipRateGC,"(*,*)",mm,mm,gt5,gt5,NA,0.05,CNT,10000.0,0.055,6.679,4.679,3.679,4.179,4.679,3.879,0.6714,21.889,4.679,0.5,3.743,0.275,0.9,0.1,1.0,0.5,0.2,0.1,0.05,0.04,0.03,grid_stat_20260727.stat,20260727_030000,,,,,,,,,,,,
